"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","29-Aug-2017","        941.00","        941.45","        942.00","        925.55","        926.75","        927.45","        933.49","    6684696","          6240109664.25","     148591","    3807364","         56.96"
"INFY","EQ","30-Aug-2017","        927.45","        937.20","        939.00","        924.10","        926.70","        926.65","        930.56","    8074832","          7514125821.50","     147639","    4723273","         58.49"
"INFY","EQ","31-Aug-2017","        926.65","        928.80","        928.95","        912.90","        915.00","        914.95","        916.78","    7511226","          6886139481.45","     174045","    4983033","         66.34"
"INFY","EQ","01-Sep-2017","        914.95","        915.95","        925.90","        910.00","        919.85","        919.95","        919.57","    4216961","          3877809875.80","      81607","    2288888","         54.28"
"INFY","EQ","04-Sep-2017","        919.95","        921.00","        921.10","        893.50","        899.95","        900.20","        904.13","    5088554","          4600718442.35","     141455","    2605004","         51.19"
"INFY","EQ","05-Sep-2017","        900.20","        902.00","        905.00","        897.25","        901.00","        901.90","        901.02","    4891696","          4407506232.10","      79400","    3043364","         62.21"
"INFY","EQ","06-Sep-2017","        901.90","        900.00","        900.30","        890.00","        896.90","        895.60","        894.39","    3867955","          3459475483.10","     126593","    2169351","         56.09"
"INFY","EQ","07-Sep-2017","        895.60","        900.00","        900.50","        892.35","        894.65","        895.75","        896.04","    3120596","          2796180947.75","      74906","    2144854","         68.73"
"INFY","EQ","08-Sep-2017","        895.75","        899.00","        899.00","        882.10","        884.00","        884.30","        888.07","    4302271","          3820696331.75","      78811","    2781198","         64.64"
"INFY","EQ","11-Sep-2017","        884.30","        890.40","        891.80","        873.65","        879.95","        878.70","        880.91","    6893821","          6072846748.00","     145836","    4926886","         71.47"
"INFY","EQ","12-Sep-2017","        878.70","        882.55","        887.75","        878.80","        883.25","        884.05","        881.98","    8620677","          7603270019.70","      94378","    7004148","         81.25"
"INFY","EQ","13-Sep-2017","        884.05","        885.50","        887.60","        881.00","        884.50","        883.75","        883.75","    5739114","          5071927187.70","     136009","    4337096","         75.57"
"INFY","EQ","14-Sep-2017","        883.75","        884.50","        896.60","        881.60","        892.30","        892.40","        891.42","    6849003","          6105328296.85","     110957","    5034797","         73.51"
"INFY","EQ","15-Sep-2017","        892.40","        892.30","        913.25","        892.20","        908.60","        908.25","        904.85","    6729730","          6089408744.25","      99888","    4438125","         65.95"
"INFY","EQ","18-Sep-2017","        908.25","        910.00","        917.75","        906.30","        908.80","        909.10","        912.83","    4237930","          3868513182.30","      77992","    3189815","         75.27"
"INFY","EQ","19-Sep-2017","        909.10","        908.00","        916.00","        903.50","        912.70","        912.25","        911.15","    3016665","          2748642130.20","      79618","    1885792","         62.51"
"INFY","EQ","20-Sep-2017","        912.25","        917.00","        917.00","        907.45","        913.30","        912.70","        910.97","    2883915","          2627153267.80","      46614","    2044262","         70.88"
"INFY","EQ","21-Sep-2017","        912.70","        915.00","        915.25","        908.15","        911.00","        909.55","        910.99","    4102076","          3736951962.80","      42387","    3197445","         77.95"
"INFY","EQ","22-Sep-2017","        909.55","        908.15","        910.25","        888.00","        899.00","        898.30","        897.32","    8802044","          7898273388.25","     101141","    6337990","         72.01"
"INFY","EQ","25-Sep-2017","        898.30","        901.00","        901.95","        889.10","        901.00","        895.35","        894.32","    4544350","          4064084916.00","      83796","    3038937","         66.87"
"INFY","EQ","26-Sep-2017","        895.35","        897.00","        908.40","        894.30","        901.75","        905.90","        900.14","    3683239","          3315416202.50","     101232","    2519693","         68.41"
"INFY","EQ","27-Sep-2017","        905.90","        906.10","        907.90","        895.10","        895.90","        899.80","        900.49","    3000069","          2701542236.40","      88378","    1994987","         66.50"
"INFY","EQ","28-Sep-2017","        899.80","        896.10","        903.90","        894.30","        896.00","        896.00","        897.71","    8768633","          7871666208.05","     135425","    7778115","         88.70"
"INFY","EQ","29-Sep-2017","        896.00","        898.00","        902.40","        895.00","        899.00","        899.90","        899.31","    2852916","          2565651056.60","      79579","    2099609","         73.60"
"INFY","EQ","03-Oct-2017","        899.90","        910.10","        912.00","        901.60","        903.05","        903.55","        905.66","    2473761","          2240392336.30","      98569","    1968356","         79.57"
"INFY","EQ","04-Oct-2017","        903.55","        903.00","        905.40","        897.15","        901.45","        899.60","        901.13","    2495746","          2248997167.45","      81198","    1658660","         66.46"
"INFY","EQ","05-Oct-2017","        899.60","        900.00","        904.95","        899.00","        903.00","        903.05","        902.78","    4305650","          3887063882.60","      46048","    3573231","         82.99"
"INFY","EQ","06-Oct-2017","        903.05","        904.00","        922.00","        903.95","        920.50","        920.15","        916.53","    4287154","          3929315140.25","      76214","    2820790","         65.80"
"INFY","EQ","09-Oct-2017","        920.15","        920.00","        929.00","        914.00","        924.25","        923.90","        923.72","    1752416","          1618746284.65","      39646","    1158064","         66.08"
"INFY","EQ","10-Oct-2017","        923.90","        939.95","        939.95","        929.55","        935.15","        935.45","        935.46","    3571610","          3341105876.30","     103093","    1997414","         55.92"
"INFY","EQ","11-Oct-2017","        935.45","        935.45","        938.00","        928.00","        930.60","        930.70","        932.27","    2991252","          2788647777.55","      95474","    2208694","         73.84"
"INFY","EQ","12-Oct-2017","        930.70","        930.00","        934.35","        919.55","        928.35","        927.30","        924.62","    5140486","          4753015819.85","     108653","    3208005","         62.41"
"INFY","EQ","13-Oct-2017","        927.30","        932.80","        933.50","        927.55","        929.05","        930.10","        929.70","    3590364","          3337968430.45","     104364","    2662742","         74.16"
"INFY","EQ","16-Oct-2017","        930.10","        935.95","        942.00","        933.00","        939.00","        939.00","        937.81","    2879375","          2700304305.65","      78589","    1957128","         67.97"
"INFY","EQ","17-Oct-2017","        939.00","        936.80","        936.80","        929.50","        930.75","        930.50","        932.11","    2812551","          2621611619.35","      77515","    2204290","         78.37"
"INFY","EQ","18-Oct-2017","        930.50","        928.90","        930.00","        922.95","        925.00","        924.35","        926.70","    3615926","          3350868643.10","      78889","    2866352","         79.27"
"INFY","EQ","19-Oct-2017","        924.35","        930.00","        932.00","        925.20","        927.75","        926.95","        927.39","     545717","           506094102.55","      13886","     379479","         69.54"
"INFY","EQ","23-Oct-2017","        926.95","        930.00","        942.00","        928.10","        940.95","        939.50","        936.18","    4577048","          4284920339.60","     105211","    3700749","         80.85"
"INFY","EQ","24-Oct-2017","        939.50","        946.00","        946.65","        921.60","        924.35","        926.50","        933.61","    7264664","          6782341418.05","     117978","    5282209","         72.71"
"INFY","EQ","25-Oct-2017","        926.50","        919.00","        944.70","        915.25","        934.25","        935.30","        934.05","    6992067","          6530973259.65","     176833","    4211146","         60.23"
"INFY","EQ","26-Oct-2017","        935.30","        942.00","        951.80","        940.10","        948.55","        947.35","        946.46","   16829629","         15928597285.60","     144857","   13667670","         81.21"
"INFY","EQ","27-Oct-2017","        947.35","        955.00","        957.70","        944.00","        947.00","        946.35","        948.86","    4262478","          4044495152.20","     108092","    3305472","         77.55"
"INFY","EQ","30-Oct-2017","        946.35","        954.65","        954.65","        941.05","        943.90","        944.10","        946.96","    6484163","          6140238516.45","     120848","    5395557","         83.21"
"INFY","EQ","31-Oct-2017","        944.10","        925.00","        930.00","        920.00","        922.00","        921.85","        924.74","    4977494","          4602897345.35","      68301","    3547519","         71.27"
"INFY","EQ","01-Nov-2017","        921.85","        925.00","        929.40","        923.30","        926.00","        927.05","        925.92","    2816567","          2607904113.05","      59211","    2042973","         72.53"
"INFY","EQ","02-Nov-2017","        927.05","        923.05","        926.00","        920.00","        923.10","        922.90","        923.13","    2343069","          2162955678.45","      81286","    1802504","         76.93"
"INFY","EQ","03-Nov-2017","        922.90","        917.00","        929.90","        916.95","        926.80","        926.65","        926.37","    1849543","          1713353952.70","      51904","    1193264","         64.52"
"INFY","EQ","06-Nov-2017","        926.65","        923.15","        935.00","        922.65","        928.80","        928.70","        927.57","    2533267","          2349782381.05","      69707","    2018399","         79.68"
"INFY","EQ","07-Nov-2017","        928.70","        926.25","        960.00","        925.85","        955.35","        955.50","        951.18","    6721410","          6393285438.65","     145532","    4037210","         60.06"
"INFY","EQ","08-Nov-2017","        955.50","        960.25","        961.85","        947.50","        951.95","        952.30","        955.20","    2684997","          2564719195.45","      88636","    1805469","         67.24"
"INFY","EQ","09-Nov-2017","        952.30","        953.00","        963.00","        948.25","        954.00","        954.50","        954.92","    2361616","          2255155223.50","      67747","    1533245","         64.92"
"INFY","EQ","10-Nov-2017","        954.50","        958.80","        964.35","        950.00","        963.50","        962.05","        959.46","    3294714","          3161144505.05","      63848","    2512523","         76.26"
"INFY","EQ","13-Nov-2017","        962.05","        962.05","        969.40","        949.35","        952.55","        951.95","        958.24","    2510608","          2405762223.40","      58964","    1661218","         66.17"
"INFY","EQ","14-Nov-2017","        951.95","        951.95","        954.85","        943.25","        949.10","        949.10","        948.44","    2866855","          2719052888.00","      74967","    2228100","         77.72"
"INFY","EQ","15-Nov-2017","        949.10","        945.15","        953.50","        944.50","        950.75","        951.80","        950.67","    3511758","          3338522493.90","      98311","    2786780","         79.36"
"INFY","EQ","16-Nov-2017","        951.80","        951.80","        995.90","        948.50","        989.95","        988.40","        978.58","    7843751","          7675734064.95","     224690","    4903542","         62.52"
"INFY","EQ","17-Nov-2017","        988.40","        985.50","        985.50","        965.15","        965.50","        970.95","        974.04","    4028835","          3924263396.45","     178425","    2591711","         64.33"
"INFY","EQ","20-Nov-2017","        970.95","        969.00","        971.00","        957.25","        960.95","        960.55","        961.63","    2830595","          2721971565.80","      66198","    1831803","         64.71"
"INFY","EQ","21-Nov-2017","        960.55","        961.30","        971.50","        960.05","        965.50","        966.25","        966.87","    2682328","          2593469144.45","      74479","    1805267","         67.30"
"INFY","EQ","22-Nov-2017","        966.25","        966.60","        971.05","        963.30","        965.30","        966.30","        966.54","    3042460","          2940669552.80","      57418","    2449238","         80.50"
"INFY","EQ","23-Nov-2017","        966.30","        971.50","        994.45","        969.00","        991.15","        991.25","        984.70","    5947309","          5856291707.60","     141525","    3359566","         56.49"
"INFY","EQ","24-Nov-2017","        991.25","        990.90","       1019.30","        990.20","       1008.00","       1009.55","       1010.09","    9309956","          9403912991.65","     180427","    5767868","         61.95"
"INFY","EQ","27-Nov-2017","       1009.55","       1006.70","       1006.70","        993.30","        996.55","        998.75","        997.92","    3008865","          3002607597.65","      75428","    1732581","         57.58"
"INFY","EQ","28-Nov-2017","        998.75","        994.40","        999.90","        981.30","        982.15","        984.70","        988.73","    2308434","          2282406445.85","      61722","    1311641","         56.82"
"INFY","EQ","29-Nov-2017","        984.70","        987.65","        991.95","        980.30","        983.50","        982.70","        984.37","    1919035","          1889032575.75","      50324","     896450","         46.71"
"INFY","EQ","30-Nov-2017","        982.70","        989.45","        989.45","        968.35","        972.50","        976.10","        978.17","    8633472","          8445010644.15","     126288","    5893906","         68.27"
"INFY","EQ","01-Dec-2017","        976.10","        979.40","        983.20","        957.05","        960.00","        958.80","        966.26","    2042500","          1973590610.45","      49881","    1012750","         49.58"
"INFY","EQ","04-Dec-2017","        958.80","        980.00","        996.80","        968.55","        984.40","        985.35","        985.73","    8905803","          8778677870.85","     150296","    3727405","         41.85"
"INFY","EQ","05-Dec-2017","        985.35","        985.35","       1003.00","        979.00","        984.30","        984.35","        990.92","    4988369","          4943095295.60","     106371","    2190959","         43.92"
"INFY","EQ","06-Dec-2017","        984.35","        985.00","        994.10","        984.00","        987.80","        990.30","        989.37","    3745047","          3705251090.15","     121883","    2367807","         63.23"
"INFY","EQ","07-Dec-2017","        990.30","        989.00","       1002.90","        985.60","        999.85","        999.80","        995.95","    3774772","          3759492031.70","     106502","    2442675","         64.71"
"INFY","EQ","08-Dec-2017","        999.80","       1001.00","       1007.00","        995.00","        999.40","       1001.85","       1002.25","    2991622","          2998343941.10","     109714","    2139664","         71.52"
"INFY","EQ","11-Dec-2017","       1001.85","        994.95","       1006.90","        993.95","       1005.40","       1005.30","       1000.75","    2569549","          2571485667.20","      64951","    1914506","         74.51"
"INFY","EQ","12-Dec-2017","       1005.30","       1002.00","       1014.00","       1002.00","       1010.50","       1010.50","       1009.41","    4660217","          4704066529.00","     125676","    3609637","         77.46"
"INFY","EQ","13-Dec-2017","       1010.50","       1010.90","       1019.00","        997.65","       1005.00","       1003.75","       1010.55","    2681199","          2709482013.30","      89418","    1495614","         55.78"
"INFY","EQ","14-Dec-2017","       1003.75","       1005.25","       1015.00","        999.30","       1012.30","       1013.10","       1010.36","    3011786","          3042976537.00","      97393","    1876813","         62.32"
"INFY","EQ","15-Dec-2017","       1013.10","       1013.00","       1026.40","       1011.85","       1019.00","       1022.90","       1019.21","    5192067","          5291809164.55","     117970","    3887254","         74.87"
"INFY","EQ","18-Dec-2017","       1022.90","       1011.90","       1030.70","       1005.80","       1014.00","       1016.60","       1019.42","    2017724","          2056905714.55","      67395","     841209","         41.69"
